method: com.coveros.training.authentication.LoginServlet.doPost | lines: 27:50 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/LoginServlet.java
commit: 86e58a92d50a9b0fc7e65a8c59c6af2575798b05 | author: Byron Katz
method: com.coveros.training.expenses.AlcoholCalculator.calculate | lines: 4:6 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/expenses/AlcoholCalculator.java
commit: a243815314a44347ad1e5df7d0e746a1581dd829 | author: Byron Katz
method: com.coveros.training.expenses.AlcoholResult.AlcoholResult | lines: 8:12 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/expenses/AlcoholResult.java
commit: a243815314a44347ad1e5df7d0e746a1581dd829 | author: Byron Katz
method: com.coveros.training.expenses.AlcoholResult.returnEmpty | lines: 14:16 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/expenses/AlcoholResult.java
commit: a243815314a44347ad1e5df7d0e746a1581dd829 | author: Byron Katz
method: com.coveros.training.expenses.DinnerPrices.DinnerPrices | lines: 9:14 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/expenses/DinnerPrices.java
commit: a243815314a44347ad1e5df7d0e746a1581dd829 | author: Byron Katz
method: com.coveros.training.helpers.AssertionException.AssertionException | lines: 10:12 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/AssertionException.java
commit: c828aa612929b78514f14fb2a68bbba4ef6711b7 | author: Byron Katz
method: com.coveros.training.helpers.CheckUtils.CheckUtils | lines: 9:11 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/CheckUtils.java
commit: 8d51efe28f238e053461eea6629601a5e3500216 | author: Byron Katz
method: com.coveros.training.helpers.CheckUtils.IntParameterMustBePositive | lines: 18:22 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/CheckUtils.java
commit: c828aa612929b78514f14fb2a68bbba4ef6711b7 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: acbe0848427328f8b7a1417cbaec7249c52b2685 | author: Byron Katz
method: com.coveros.training.helpers.CheckUtils.StringMustNotBeNullOrEmpty | lines: 29:35 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/CheckUtils.java
commit: c828aa612929b78514f14fb2a68bbba4ef6711b7 | author: Byron Katz
commit: 3b11cd6d3f774000c7f25bcdd64295336f58460b | author: Byron Katz
commit: 8d52ba936097029280b5206ee5a979af5b50a503 | author: Byron Katz
method: com.coveros.training.helpers.CheckUtils.mustBeTrueAtThisPoint | lines: 43:47 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/CheckUtils.java
commit: c828aa612929b78514f14fb2a68bbba4ef6711b7 | author: Byron Katz
commit: 8d52ba936097029280b5206ee5a979af5b50a503 | author: Byron Katz
method: com.coveros.training.helpers.ServletUtils.ServletUtils | lines: 19:21 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/ServletUtils.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 8d51efe28f238e053461eea6629601a5e3500216 | author: Byron Katz
method: com.coveros.training.helpers.ServletUtils.forwardToRestfulResult | lines: 39:45 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/ServletUtils.java
commit: de199f7d3edd3b36ceac821a6ee1f7b7c92e29e2 | author: Byron Katz
commit: dab3d571267d4309210880e6f6359ff9651393c7 | author: Byron Katz
commit: 95f2f4e3dd085cd3120bcb3d916be291c8729a42 | author: Byron Katz
method: com.coveros.training.helpers.ServletUtils.forwardToResult | lines: 27:33 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/ServletUtils.java
commit: de199f7d3edd3b36ceac821a6ee1f7b7c92e29e2 | author: Byron Katz
commit: dab3d571267d4309210880e6f6359ff9651393c7 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 29d6005aebddbe14112d0be50e58b44eee424166 | author: Byron Katz
commit: ab0a3fe6c08de338cd8f6b904f402fe2bfccdc24 | author: Byron Katz
method: com.coveros.training.helpers.StringUtils.StringUtils | lines: 14:16 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/StringUtils.java
commit: b7cb9a732986aa3c3d83290a13552c629adc33e5 | author: Byron Katz
method: com.coveros.training.helpers.StringUtils.escapeForJson | lines: 44:48 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/StringUtils.java
commit: ed9b468253c44cfea51ddb2fd8f41cce7ebe2760 | author: Byron Katz
method: com.coveros.training.helpers.StringUtils.makeNotNullable | lines: 22:24 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/helpers/StringUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 62a21e97e4a76ae48643408ecbcf3b45feaa5225 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: acbe0848427328f8b7a1417cbaec7249c52b2685 | author: Byron Katz
method: com.coveros.training.library.LibraryBookListAvailableServlet.doGet | lines: 29:42 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBookListAvailableServlet.java
commit: 23f0cffc3ea6cb4b96fb0c090771cbe7548bd037 | author: Byron Katz
method: com.coveros.training.library.LibraryBookListSearchServlet.doGet | lines: 30:48 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBookListSearchServlet.java
commit: cdf5f5f8d254f0c7428f211b0216569c1c26a760 | author: Byron Katz
commit: cc185a649d7bce1958df78546c7fd46e67d3bf2d | author: Byron Katz
commit: 95f2f4e3dd085cd3120bcb3d916be291c8729a42 | author: Byron Katz
commit: 626af93e082ddb1514c38041d8272f85499c84e8 | author: Byron Katz
commit: b841d246adee6462b7f308dbb0a4c44a36cbe539 | author: Byron Katz
method: com.coveros.training.library.LibraryBookListSearchServlet.listAllBooks | lines: 74:82 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBookListSearchServlet.java
commit: 49ba0642d7c0413c324dc3cddee61090c9d1cf8b | author: Byron Katz
commit: cc185a649d7bce1958df78546c7fd46e67d3bf2d | author: Byron Katz
method: com.coveros.training.library.LibraryBookListSearchServlet.searchById | lines: 59:72 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBookListSearchServlet.java
commit: cdf5f5f8d254f0c7428f211b0216569c1c26a760 | author: Byron Katz
commit: 49ba0642d7c0413c324dc3cddee61090c9d1cf8b | author: Byron Katz
commit: cc185a649d7bce1958df78546c7fd46e67d3bf2d | author: Byron Katz
method: com.coveros.training.library.LibraryBookListSearchServlet.searchByTitle | lines: 50:57 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBookListSearchServlet.java
commit: 49ba0642d7c0413c324dc3cddee61090c9d1cf8b | author: Byron Katz
commit: cc185a649d7bce1958df78546c7fd46e67d3bf2d | author: Byron Katz
method: com.coveros.training.library.LibraryBorrowerListSearchServlet.doGet | lines: 30:48 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBorrowerListSearchServlet.java
commit: cdf5f5f8d254f0c7428f211b0216569c1c26a760 | author: Byron Katz
commit: 4b6b7f904537a100033f6d14b5f1e12b8983aa2b | author: Byron Katz
commit: b841d246adee6462b7f308dbb0a4c44a36cbe539 | author: Byron Katz
method: com.coveros.training.library.LibraryBorrowerListSearchServlet.listAllBorrowers | lines: 74:82 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBorrowerListSearchServlet.java
commit: 49ba0642d7c0413c324dc3cddee61090c9d1cf8b | author: Byron Katz
commit: 4b6b7f904537a100033f6d14b5f1e12b8983aa2b | author: Byron Katz
commit: 95f2f4e3dd085cd3120bcb3d916be291c8729a42 | author: Byron Katz
commit: b841d246adee6462b7f308dbb0a4c44a36cbe539 | author: Byron Katz
method: com.coveros.training.library.LibraryBorrowerListSearchServlet.searchById | lines: 59:72 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBorrowerListSearchServlet.java
commit: cdf5f5f8d254f0c7428f211b0216569c1c26a760 | author: Byron Katz
commit: 49ba0642d7c0413c324dc3cddee61090c9d1cf8b | author: Byron Katz
commit: 4b6b7f904537a100033f6d14b5f1e12b8983aa2b | author: Byron Katz
commit: b841d246adee6462b7f308dbb0a4c44a36cbe539 | author: Byron Katz
method: com.coveros.training.library.LibraryBorrowerListSearchServlet.searchByName | lines: 50:57 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryBorrowerListSearchServlet.java
commit: cdf5f5f8d254f0c7428f211b0216569c1c26a760 | author: Byron Katz
commit: 49ba0642d7c0413c324dc3cddee61090c9d1cf8b | author: Byron Katz
commit: 4b6b7f904537a100033f6d14b5f1e12b8983aa2b | author: Byron Katz
commit: b841d246adee6462b7f308dbb0a4c44a36cbe539 | author: Byron Katz
method: com.coveros.training.library.LibraryLendServlet.doPost | lines: 27:51 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryLendServlet.java
commit: 86e58a92d50a9b0fc7e65a8c59c6af2575798b05 | author: Byron Katz
commit: c851c36b7f4cda1ffc8f0b22f6c2f3aab36aab06 | author: Byron Katz
commit: ce0f52a5c534621059ad3774eed71afd9487fe9e | author: Byron Katz
commit: b157c48becf8e9823ceda7fffac877c6e89de3a7 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 409803d575a5efe35b3a6b786761edeb4ff295d7 | author: Byron Katz
commit: 203bd85b4f455303452deec0cc625bb333d7f907 | author: Byron Katz
commit: 8d51efe28f238e053461eea6629601a5e3500216 | author: Byron Katz
commit: 16434d200c3702e225bbddd19e2424e34b340e98 | author: Byron Katz
commit: db3f2b5b0752a7402b37e9bed2f80cc7417f02b7 | author: Byron Katz
commit: 96322cdd539d90f06fec7c227e17caa4b32cf8cd | author: Byron Katz
commit: 340f96edca25606f0cff6b33ea493e92a039c10a | author: Byron Katz
commit: 461ccf574cf733091a83990c41d7da9e63c5cfd6 | author: Byron Katz
commit: 833aa6ca895e4c2d4f9dbbfdc86ae490683985ec | author: Byron Katz
commit: 3edca423af98cdb4e789c290fe6829762abbbe43 | author: Byron Katz
commit: 41ac804af51d72cb47720a7932e7ab21fabe95a2 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryLendServlet.getDateNow | lines: 57:59 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryLendServlet.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 203bd85b4f455303452deec0cc625bb333d7f907 | author: Byron Katz
commit: db3f2b5b0752a7402b37e9bed2f80cc7417f02b7 | author: Byron Katz
method: com.coveros.training.library.LibraryRegisterBookServlet.doPost | lines: 25:43 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryRegisterBookServlet.java
commit: cdf5f5f8d254f0c7428f211b0216569c1c26a760 | author: Byron Katz
commit: 86e58a92d50a9b0fc7e65a8c59c6af2575798b05 | author: Byron Katz
commit: c851c36b7f4cda1ffc8f0b22f6c2f3aab36aab06 | author: Byron Katz
commit: ce0f52a5c534621059ad3774eed71afd9487fe9e | author: Byron Katz
commit: b157c48becf8e9823ceda7fffac877c6e89de3a7 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 409803d575a5efe35b3a6b786761edeb4ff295d7 | author: Byron Katz
commit: 9eb2127612eedb13c9ed518e72c8ba8bc45c8132 | author: Byron Katz
commit: 8d51efe28f238e053461eea6629601a5e3500216 | author: Byron Katz
commit: 16434d200c3702e225bbddd19e2424e34b340e98 | author: Byron Katz
commit: db3f2b5b0752a7402b37e9bed2f80cc7417f02b7 | author: Byron Katz
commit: 96322cdd539d90f06fec7c227e17caa4b32cf8cd | author: Byron Katz
commit: 340f96edca25606f0cff6b33ea493e92a039c10a | author: Byron Katz
commit: 461ccf574cf733091a83990c41d7da9e63c5cfd6 | author: Byron Katz
commit: 41ac804af51d72cb47720a7932e7ab21fabe95a2 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryRegisterBorrowerServlet.doPost | lines: 25:43 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryRegisterBorrowerServlet.java
commit: cdf5f5f8d254f0c7428f211b0216569c1c26a760 | author: Byron Katz
commit: 86e58a92d50a9b0fc7e65a8c59c6af2575798b05 | author: Byron Katz
commit: c851c36b7f4cda1ffc8f0b22f6c2f3aab36aab06 | author: Byron Katz
commit: ce0f52a5c534621059ad3774eed71afd9487fe9e | author: Byron Katz
commit: b157c48becf8e9823ceda7fffac877c6e89de3a7 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 409803d575a5efe35b3a6b786761edeb4ff295d7 | author: Byron Katz
commit: a05eb9e316af7d761d22184796fd7092a47b41fd | author: Byron Katz
commit: 6a5d0f0de3d45680e48b543b73fff554acde47d3 | author: Byron Katz
commit: 16434d200c3702e225bbddd19e2424e34b340e98 | author: Byron Katz
commit: db3f2b5b0752a7402b37e9bed2f80cc7417f02b7 | author: Byron Katz
commit: 96322cdd539d90f06fec7c227e17caa4b32cf8cd | author: Byron Katz
commit: 340f96edca25606f0cff6b33ea493e92a039c10a | author: Byron Katz
commit: 461ccf574cf733091a83990c41d7da9e63c5cfd6 | author: Byron Katz
commit: 833aa6ca895e4c2d4f9dbbfdc86ae490683985ec | author: Byron Katz
commit: 3edca423af98cdb4e789c290fe6829762abbbe43 | author: Byron Katz
commit: 41ac804af51d72cb47720a7932e7ab21fabe95a2 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.LibraryUtils | lines: 24:26 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.LibraryUtils | lines: 24:26 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.createEmpty | lines: 199:201 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: ac8b0cc82559710602ba2e4f1abf17beeeb1719e | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.createLoan | lines: 74:77 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: fd877dcbb8d579256bf49087f45ae7b3900bec5d | author: Byron Katz
commit: 8b79c2bbdab18d30a0e0ffd9586324c30201f528 | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.deleteBook | lines: 207:217 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 7a3a6d18668b325fe5548cc298e64626a5e24826 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.deleteBorrower | lines: 219:229 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: e178e016c1690559c05c53891c7ed9d759df7cd9 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.isEmpty | lines: 60:63 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 9ddd38d75e90bb60b514e5b0efeb6db33c1737a0 | author: Byron Katz
commit: 62285d962900f11cbfe5e5013f63d4fb7dcf6176 | author: Byron Katz
commit: 3fa9e11a80ecc47ec1b78fe4f6878c14152b23e1 | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.lendBook | lines: 39:46 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: fd877dcbb8d579256bf49087f45ae7b3900bec5d | author: Byron Katz
commit: 3fa9e11a80ecc47ec1b78fe4f6878c14152b23e1 | author: Byron Katz
commit: 203bd85b4f455303452deec0cc625bb333d7f907 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.lendBook | lines: 39:46 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: fd877dcbb8d579256bf49087f45ae7b3900bec5d | author: Byron Katz
commit: 3fa9e11a80ecc47ec1b78fe4f6878c14152b23e1 | author: Byron Katz
commit: 203bd85b4f455303452deec0cc625bb333d7f907 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.listAllBooks | lines: 231:234 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 4c2e373fb6738c0fe19b2067860741d3957aad41 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.listAllBorrowers | lines: 237:240 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 16b876992047bd04b500fdbe939d5bb3ab5a859d | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.listAvailableBooks | lines: 243:246 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 14ff9a0aa551587275df44bcff8a59c0b6a21de9 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.registerBook | lines: 111:124 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 7a3a6d18668b325fe5548cc298e64626a5e24826 | author: Byron Katz
commit: c144c05aa2193e7ecbdaa6e51da4f580f544d353 | author: Byron Katz
commit: 9ddd38d75e90bb60b514e5b0efeb6db33c1737a0 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.registerBorrower | lines: 84:95 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: c144c05aa2193e7ecbdaa6e51da4f580f544d353 | author: Byron Katz
commit: 9ddd38d75e90bb60b514e5b0efeb6db33c1737a0 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: ac8b0cc82559710602ba2e4f1abf17beeeb1719e | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.saveNewBook | lines: 130:133 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.saveNewBorrower | lines: 101:104 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 3016a7a223b1805cac1847f8fa3b55b6a48b53d3 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.searchForBookById | lines: 168:180 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 4c2e373fb6738c0fe19b2067860741d3957aad41 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.searchForBookByTitle | lines: 151:163 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 4c2e373fb6738c0fe19b2067860741d3957aad41 | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.searchForBorrowerById | lines: 185:197 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 16b876992047bd04b500fdbe939d5bb3ab5a859d | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.searchForBorrowerByName | lines: 146:149 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.library.LibraryUtils.searchForLoanByBook | lines: 135:138 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/library/LibraryUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 70410c4b610956dcf2fa121664a128035e3bca43 | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
